Scann subnet 203.68.186.0-203.68.189.254 with 20 threads
203.68.189.3, ping: failure, ports: 80
203.68.189.6, ping: failure, ports: 80
203.68.189.9, ping: failure, ports: 80
203.68.189.116, ping: failure, ports: 80
203.68.189.63, ping: failure, ports: 80
203.68.189.218, ping: failure, ports: 80
203.68.189.118, ping: failure, ports: 80
203.68.189.22, ping: failure, ports: 80
203.68.189.23, ping: failure, ports: 80
203.68.189.25, ping: failure, ports: 80
203.68.189.26, ping: failure, ports: 80
203.68.189.130, ping: failure, ports: 80
203.68.189.85, ping: failure, ports: 80
203.68.189.86, ping: failure, ports: 80
203.68.189.40, ping: failure, ports: 80
203.68.189.41, ping: failure, ports: 80
203.68.186.254, ping: success, ports: not found
203.68.187.254, ping: success, ports: not found
203.68.188.254, ping: success, ports: not found
203.68.189.46, ping: failure, ports: 80
203.68.189.254, ping: success, ports: not found
203.68.189.101, ping: failure, ports: 80
Statistics:
Scanned 1023 from 1023, found online 22
